8,Animals,Back to December,Bad Guy,Bad Luck,Better,Blank Space,Bury a Friend,Change,Come Out and Play,Delicate,Everything Has Changed,Fearless,Girls Like you,Gorgeous,Harder to Breathe,Idontwannabeyouanymore,Ilomilo,Learn to Fly,Listen Before i Go,Location,Look What you Made Me Do,Love Story,Love Yourself,Me!,Mistletoe,Moves Like Jagger,My Strange Addiction,Ocean Eyes,Our Song,Right Back,Safe & Sound,Say Something,She will be Loved,Should've Said No,Sorry,Speak Now,Sugar,Suncity,Sunday Morning,Talk,Teardrops on My Guitar,That Should be Me,Toxic,Vertigo,Wait,Walk,White Horse,Wildest Dreams,Wish you Were Gay,Won't Go Home without you,Xanny,Young Dumb & Broke,all the Good Girls Go to Hell,i Love you,when the Party's over,you Belong with Me,you Need to Calm Down,you Should See Me in a Crown
,G,Am,Dm,C,F,F,C,,Dm,C,,C,C,Am,C,C,,Gm,F,Am,C,C,F,Dm,C,Am,Am,Em,C,C,Dm,Am,Bdim,F#,Gm,F,F,,D,Em,Am,Am,,A7,C,C,G,Am,Am,Dm,C,,Am,C,C,Cm,,C
,G,F,C,F,Am,G,Am,,G,Dm,,G,G,F,Gm,G,,F,C,Em,Am,F,C,F,G,C,F,C,Dm,F,Am,C,A,Gm#,F,C,Am,,G,Dm,F,F,,Dm,G,B,C,C,D,G,D,,F,F,Am,D#,,Bdim
,F,C,Am,F,G,C,Am,,C,Am,,Dm,Am,G,Dm,Am,,C,Am,F,G,Am,Am,G,Am,G,Dm,D,F,C,F,G,,C,D#,G,Dm,,Am,C,C,C,,C,Am,Fm#,Em,G,G,C,Dm,,Dm,C,Em,F,,C
,Am,G,Dm,Am,Em,Am,Dm,,Em,F,,F,F,F,C#,G,,Gm,C,Dm,F,G,F,Dm,F,F,Am,Em,G,Am,C,D,,B,Gm,Dm,C,,D,Em,G,C,,Gm,F,Am,C,D,Em,Am,Am,,C,F,G,Cm,,C
,G,Am,C,C,Em,F,C,,Am,C,,C,C,Em,C#,C,,F,F,Am,C,C,C,F,C,Am,Am,C,C,C,F,G,,,F,F,F,,G,Dm,C,Am,,Dm,C,C,G,Am,Am,Dm,Bb,,Am,Dm,C,D#,,Bdim
,Am,G,Am,Dm,F,G,Am,,Dm,Dm,,G,G,F,C,G,,Bb,C,Em,Am,F,Am,C,G,C,F,D,Dm,F,C,D,,,D#,,Am,,Am,Em,G,F,,C,G,B,Em,C,D,F,C,,F,G,Am,A7,,C
,,C,Dm,Am,Am,C,Am,,G,Am,,Dm,Am,Em,Dm,Am,,D#,Am,F,G,Am,F,G,Am,G,Dm,Em,F,C,G,Am,,,Gm,,Dm,,D,Dm,Am,C,,A7,Am,C#,C,G,G,G,D,,Dm,Am,Em,F,,
,,F,C,F,G,Am,Dm,,C,F,,F,F,G,Am#,D,,F,C,Dm,F,F,C,Dm,F,F,Am,C,G,Am,F,C,,,F,,C,,G,C,F,Am,,Dm,F,A,D,D,Em,C,Dm,,C,C,G,Cm,,
,,Am,Am,Am,Em,F,C,,Em,C,,G,C,F,B,C,,Bb,F,Am,C,C,C,F,C,Am,Am,D,C,C,C,G,,,D#,,F,,G,Em,C,F,,C,C,Am,G,Am,Am,C,Am,,Am,F,C,D#,,
,,G,Am,G,F,G,Am,,Am,Dm,,C,G,Em,Dm,G,,A7,C,Em,Am,F,G,G,G,C,,Em,Dm,F,G,D,,,Gm,,Am,,Am,Dm,G,C,,Gm,G,C,Em,C,D,Dm,Bb,,F,C,C,F,,
,,F,,C,Am,F,,,C,Am,,G,Am,F,Am#,Am,,C,Am,F,G,Am,Am,Dm,Am,G,,C,F,C,F,Am,,,F,,Dm,,D,Em,Am,C,,Dm,Am,B,C,G,G,G,C,,Dm,F,Em,Cm,,
,,Am,,F,G,G,,,C#,F,,Dm,F,Em,B,G,,Bb,F,Dm,F,G,F,F,F,F,,D,G,Am,C,C,,,D#,,C,,G,Dm,F,Am,,C,F,C#,D,D,Em,C,D,,C,Dm,G,D#,,
,,G,,F,Em,C,,,C,C,,F,C,G,Am#,C,,D#,C,Am,C,C,C,C,C,Am,,Em,C,C,G,G,,,Gm,,F,,G,C,C,F,,A7,C,A,G,Am,Am,Am,Dm,,Am,G,C,A7,,
,,C,,Am,F,Am,,,C#,Dm,,G,G,F,Dm,G,,F,Am,Em,Am,F,G,G,G,C,,C,Dm,F,F,D,,,F,,Am,,Am,Em,G,C,,Dm,G,Am,Em,C,D,Dm,Dm,,F,Am,Am,F,,
,,F,,C,Am,F,,,,Am,,C,Am,Em,Am#,Am,,Bb,C,F,G,Am,C,Dm,Am,G,,D,F,C,C,Am,,,D#,,Dm,,D,Dm,Am,C,,C,Am,C,C,G,G,F,G,,Dm,C,Em,Cm,,
,,Am,,Dm,G,G,,,,F,,G,F,F,B,D,,A7,F,Dm,F,F,C,F,G,F,,Em,G,Am,G,C,,,Gm,,C,,G,Em,F,Am,,Gm,F,B,D,D,Em,G,Am,,C,F,G,D#,,
,,G,,Am,Em,C,,,,C,,Dm,C,Em,Dm,C,,C,C,Am,C,C,G,G,C,,,,C,C,F,G,,,F,,F,,G,Dm,C,F,,Dm,C,C#,G,Am,Am,C,Bb,,Am,C,C,F,,
